doc_id,category,text
DOC-0157,Contract Modification,"This modification is issued to incorporate the following changes to the contract, including all associated documentation. This change order modifies the statement of work to include additional tasks, including all associated documentation. The delivery schedule is modified to reflect the revised completion date. This bilateral modification is agreed to by both parties and incorporated herein per the approved project plan."
DOC-0170,Contract Modification,"The delivery schedule is modified to reflect the revised completion date, including all associated documentation. All other terms and conditions of the contract remain unchanged and in full force. This change order modifies the statement of work to include additional tasks per the approved project plan."
DOC-0271,Deliverable Report,The Technical Design Document provides detailed specifications for the proposed system in accordance with applicable regulations. This Quality Assurance Surveillance Plan establishes the surveillance methodology in accordance with applicable regulations. The Configuration Management Plan governs version control and change control procedures. This Monthly Status Report covers activities completed during the reporting period in accordance with applicable regulations. This After-Action Report documents findings and lessons learned from the exercise in accordance with applicable regulations.
DOC-0001,RFP,"Offerors shall provide a detailed staffing plan and key personnel resumes, as required by the contract. The Government intends to award a single Indefinite Delivery Indefinite Quantity contract, as required by the contract. Section L of this solicitation provides instructions for proposal preparation per the approved project plan."
DOC-0279,Deliverable Report,"This Data Management Plan describes how data will be collected stored and protected, as required by the contract. The Transition Plan outlines steps for knowledge transfer to the incoming contractor, including all associated documentation. The Technical Design Document provides detailed specifications for the proposed system. This Quality Assurance Surveillance Plan establishes the surveillance methodology."
DOC-0083,SOW,The contractor shall maintain an integrated master schedule and report status weekly in accordance with applicable regulations. The contractor shall provide technical writing and documentation support per the approved project plan. All deliverables shall be submitted in accordance with the Contract Deliverable Requirements List per the approved project plan.
DOC-0199,Invoice,"Invoices must be submitted via the Wide Area Workflow electronic invoicing system. The contractor hereby submits this invoice for payment of labor hours incurred, as required by the contract. Subcontractor costs as authorized under the contract are included on this invoice per the approved project plan. Direct labor costs billed at the negotiated fixed hourly rates per the contract, as required by the contract. Travel expenses incurred in direct support of contract performance are included per the approved project plan."
DOC-0293,Deliverable Report,"This After-Action Report documents findings and lessons learned from the exercise, as required by the contract. This Weekly Activity Report summarizes tasks completed issues encountered and planned work. The Configuration Management Plan governs version control and change control procedures, as required by the contract. This Quality Assurance Surveillance Plan establishes the surveillance methodology in accordance with applicable regulations. The Technical Design Document provides detailed specifications for the proposed system, as required by the contract."
DOC-0257,Deliverable Report,"The Transition Plan outlines steps for knowledge transfer to the incoming contractor. The Technical Design Document provides detailed specifications for the proposed system per the approved project plan. The Corrective Action Plan addresses deficiencies identified during the performance review in accordance with applicable regulations. The Configuration Management Plan governs version control and change control procedures, as required by the contract. This Risk Register identifies mitigation strategies for the top program risks, including all associated documentation."
DOC-0118,SOW,"The Period of Performance for this task order is from date of award through. The contractor shall not disclose any sensitive information obtained during performance, including all associated documentation. The contractor shall maintain an integrated master schedule and report status weekly, as required by the contract. Task 1: Program Planning and Coordination — the contractor shall develop."
DOC-0196,Invoice,"Subcontractor costs as authorized under the contract are included on this invoice in accordance with applicable regulations. Indirect costs including overhead and general and administrative expenses are billed. Backup documentation including timesheets and receipts is attached to this invoice, as required by the contract."
DOC-0112,SOW,"The contractor shall not disclose any sensitive information obtained during performance, including all associated documentation. The Period of Performance for this task order is from date of award through, as required by the contract. The contractor shall support data collection analysis and reporting activities, including all associated documentation. The contractor shall provide subject matter expertise in the following domains in accordance with applicable regulations."
DOC-0225,Invoice,"Invoices must be submitted via the Wide Area Workflow electronic invoicing system in accordance with applicable regulations. This invoice covers the period of performance from the first through the last day, including all associated documentation. Subcontractor costs as authorized under the contract are included on this invoice, including all associated documentation."
DOC-0350,Compliance Document,"The Privacy Impact Assessment evaluates risks to personally identifiable information, including all associated documentation. This Cybersecurity Maturity Model Certification assessment covers all required practices, as required by the contract. The contractor must submit annual compliance certifications including ethics and conflict of interest, as required by the contract."
DOC-0324,Compliance Document,The contractor certifies compliance with the Buy American Act and Trade Agreements Act per the approved project plan. The contractor must submit annual compliance certifications including ethics and conflict of interest per the approved project plan. This Authority to Operate is granted based on an acceptable level of residual risk per the approved project plan. The Continuity of Operations Plan ensures mission-critical functions during disruptions per the approved project plan. Data handling procedures comply with the Federal Information Security Modernization Act in accordance with applicable regulations.
DOC-0241,Invoice,"Payment is requested within 30 days of receipt per the prompt payment terms, including all associated documentation. Travel expenses incurred in direct support of contract performance are included in accordance with applicable regulations. This is a cost-plus-fixed-fee invoice submitted for reimbursement of allowable costs."
DOC-0365,Compliance Document,"The Continuity of Operations Plan ensures mission-critical functions during disruptions, including all associated documentation. The contractor certifies compliance with the Buy American Act and Trade Agreements Act, including all associated documentation. The Supply Chain Risk Management Plan addresses third-party hardware and software risks per the approved project plan. The Privacy Impact Assessment evaluates risks to personally identifiable information, including all associated documentation."
DOC-0287,Deliverable Report,"The Transition Plan outlines steps for knowledge transfer to the incoming contractor, including all associated documentation. This Quality Assurance Surveillance Plan establishes the surveillance methodology, as required by the contract. The Final Report presents conclusions and recommendations based on the analysis conducted. The Technical Design Document provides detailed specifications for the proposed system, including all associated documentation. This Data Management Plan describes how data will be collected stored and protected in accordance with applicable regulations."
DOC-0343,Compliance Document,"The contractor must submit annual compliance certifications including ethics and conflict of interest. This Authority to Operate is granted based on an acceptable level of residual risk, including all associated documentation. Data handling procedures comply with the Federal Information Security Modernization Act, as required by the contract. This System Security Plan describes the security controls implemented for the information system per the approved project plan. The Continuity of Operations Plan ensures mission-critical functions during disruptions per the approved project plan."
DOC-0298,Deliverable Report,"This Quality Assurance Surveillance Plan establishes the surveillance methodology, as required by the contract. This Data Management Plan describes how data will be collected stored and protected. The Program Management Review slide deck summarizes progress against the integrated master schedule per the approved project plan. The Final Report presents conclusions and recommendations based on the analysis conducted in accordance with applicable regulations. The Technical Design Document provides detailed specifications for the proposed system, as required by the contract."
DOC-0299,Deliverable Report,"This Risk Register identifies mitigation strategies for the top program risks. This Quality Assurance Surveillance Plan establishes the surveillance methodology in accordance with applicable regulations. The Configuration Management Plan governs version control and change control procedures, as required by the contract."
DOC-0070,SOW,"Work shall be performed on-site at the Government facility located in. The contractor is responsible for delivering the following tasks and deliverables, including all associated documentation. The contractor shall not disclose any sensitive information obtained during performance in accordance with applicable regulations. The contractor shall provide technical writing and documentation support. The contractor shall provide subject matter expertise in the following domains in accordance with applicable regulations."
DOC-0228,Invoice,"Subcontractor costs as authorized under the contract are included on this invoice. This invoice covers the period of performance from the first through the last day in accordance with applicable regulations. The invoice total reflects labor materials and other direct costs for the billing period, including all associated documentation. Payment is requested within 30 days of receipt per the prompt payment terms, including all associated documentation."
DOC-0201,Invoice,"Invoices must be submitted via the Wide Area Workflow electronic invoicing system, including all associated documentation. Payment is requested within 30 days of receipt per the prompt payment terms, including all associated documentation. Direct labor costs billed at the negotiated fixed hourly rates per the contract, as required by the contract. Indirect costs including overhead and general and administrative expenses are billed per the approved project plan. Invoice Number INV-2024-0451 for professional services rendered during the period per the approved project plan."
DOC-0256,Deliverable Report,"The Transition Plan outlines steps for knowledge transfer to the incoming contractor, as required by the contract. This After-Action Report documents findings and lessons learned from the exercise, including all associated documentation. The Technical Design Document provides detailed specifications for the proposed system in accordance with applicable regulations."
DOC-0281,Deliverable Report,"The Transition Plan outlines steps for knowledge transfer to the incoming contractor in accordance with applicable regulations. The Program Management Review slide deck summarizes progress against the integrated master schedule, including all associated documentation. The Corrective Action Plan addresses deficiencies identified during the performance review."
DOC-0178,Contract Modification,"All other terms and conditions of the contract remain unchanged and in full force, including all associated documentation. The total obligated amount is hereby increased from the original contract value per the approved project plan. The contractor acknowledges receipt of this modification and agrees to the changes, including all associated documentation. This bilateral modification is agreed to by both parties and incorporated herein per the approved project plan."
DOC-0122,SOW,The contractor shall provide program management support services including in accordance with applicable regulations. The Period of Performance for this task order is from date of award through. The contractor shall maintain an integrated master schedule and report status weekly.
DOC-0141,Contract Modification,"The purpose of this modification is to extend the period of performance by, including all associated documentation. The contract is hereby modified to add the following contract line items in accordance with applicable regulations. The delivery schedule is modified to reflect the revised completion date. This change order modifies the statement of work to include additional tasks in accordance with applicable regulations. All other terms and conditions of the contract remain unchanged and in full force, including all associated documentation."
DOC-0161,Contract Modification,"All other terms and conditions of the contract remain unchanged and in full force, as required by the contract. This unilateral modification is issued pursuant to FAR clause 52.243-1 in accordance with applicable regulations. The delivery schedule is modified to reflect the revised completion date, including all associated documentation."
DOC-0361,Compliance Document,"The Continuity of Operations Plan ensures mission-critical functions during disruptions in accordance with applicable regulations. The Supply Chain Risk Management Plan addresses third-party hardware and software risks, as required by the contract. This System Security Plan describes the security controls implemented for the information system in accordance with applicable regulations. This FedRAMP authorization package demonstrates compliance with NIST SP 800-53 controls. Data handling procedures comply with the Federal Information Security Modernization Act, including all associated documentation."
DOC-0014,RFP,"All proposals must be submitted electronically via the SAM.gov portal per the approved project plan. The base period of performance is 12 months with four option years, including all associated documentation. Offerors shall provide a detailed staffing plan and key personnel resumes."
DOC-0204,Invoice,"Invoice Number INV-2024-0451 for professional services rendered during the period in accordance with applicable regulations. This is a cost-plus-fixed-fee invoice submitted for reimbursement of allowable costs in accordance with applicable regulations. The contractor hereby submits this invoice for payment of labor hours incurred in accordance with applicable regulations. The invoice total reflects labor materials and other direct costs for the billing period, as required by the contract."
DOC-0203,Invoice,"Subcontractor costs as authorized under the contract are included on this invoice, as required by the contract. Indirect costs including overhead and general and administrative expenses are billed in accordance with applicable regulations. Payment is requested within 30 days of receipt per the prompt payment terms in accordance with applicable regulations. Direct labor costs billed at the negotiated fixed hourly rates per the contract, as required by the contract."
DOC-0300,Deliverable Report,"This Quality Assurance Surveillance Plan establishes the surveillance methodology in accordance with applicable regulations. The Technical Design Document provides detailed specifications for the proposed system, including all associated documentation. The Transition Plan outlines steps for knowledge transfer to the incoming contractor, as required by the contract. This Monthly Status Report covers activities completed during the reporting period."
DOC-0036,RFP,"Section L of this solicitation provides instructions for proposal preparation. Proposals shall address all requirements outlined in the Performance Work Statement in accordance with applicable regulations. The Government intends to award a single Indefinite Delivery Indefinite Quantity contract, as required by the contract. Offerors are invited to submit technical and price proposals for in accordance with applicable regulations."
DOC-0183,Contract Modification,"This change order modifies the statement of work to include additional tasks in accordance with applicable regulations. All other terms and conditions of the contract remain unchanged and in full force. Modification P00001 adds the following scope to the existing task order per the approved project plan. This unilateral modification is issued pursuant to FAR clause 52.243-1, including all associated documentation."
DOC-0188,Contract Modification,"The purpose of this modification is to extend the period of performance by, as required by the contract. The total obligated amount is hereby increased from the original contract value. The contract is hereby modified to add the following contract line items."
DOC-0020,RFP,"The base period of performance is 12 months with four option years, including all associated documentation. Offerors must demonstrate technical capability and relevant past performance. All proposals must be submitted electronically via the SAM.gov portal in accordance with applicable regulations. Offerors shall provide a detailed staffing plan and key personnel resumes per the approved project plan."
DOC-0227,Invoice,"This invoice covers the period of performance from the first through the last day, including all associated documentation. Direct labor costs billed at the negotiated fixed hourly rates per the contract, as required by the contract. Invoice Number INV-2024-0451 for professional services rendered during the period in accordance with applicable regulations. This is a cost-plus-fixed-fee invoice submitted for reimbursement of allowable costs in accordance with applicable regulations. Payment is requested within 30 days of receipt per the prompt payment terms, including all associated documentation."
DOC-0307,Deliverable Report,"The Transition Plan outlines steps for knowledge transfer to the incoming contractor per the approved project plan. This Data Management Plan describes how data will be collected stored and protected, including all associated documentation. This After-Action Report documents findings and lessons learned from the exercise, as required by the contract. The Program Management Review slide deck summarizes progress against the integrated master schedule in accordance with applicable regulations."
DOC-0058,RFP,Offerors shall provide a detailed staffing plan and key personnel resumes. The Government is soliciting proposals for professional services in support of in accordance with applicable regulations. The base period of performance is 12 months with four option years in accordance with applicable regulations.
DOC-0057,RFP,"Offerors shall provide a detailed staffing plan and key personnel resumes, as required by the contract. The contracting officer anticipates award of a firm-fixed-price contract for in accordance with applicable regulations. The proposal evaluation criteria include technical approach, management, and price."
DOC-0209,Invoice,This invoice covers the period of performance from the first through the last day in accordance with applicable regulations. Invoices must be submitted via the Wide Area Workflow electronic invoicing system in accordance with applicable regulations. Direct labor costs billed at the negotiated fixed hourly rates per the contract in accordance with applicable regulations. Payment is requested within 30 days of receipt per the prompt payment terms per the approved project plan.
DOC-0041,RFP,The contracting officer anticipates award of a firm-fixed-price contract for in accordance with applicable regulations. Section L of this solicitation provides instructions for proposal preparation per the approved project plan. Proposals shall address all requirements outlined in the Performance Work Statement per the approved project plan. The Government intends to award a single Indefinite Delivery Indefinite Quantity contract in accordance with applicable regulations.
DOC-0360,Compliance Document,The Privacy Impact Assessment evaluates risks to personally identifiable information per the approved project plan. The contractor must submit annual compliance certifications including ethics and conflict of interest in accordance with applicable regulations. Section 508 compliance testing confirms the system meets accessibility requirements. The Supply Chain Risk Management Plan addresses third-party hardware and software risks in accordance with applicable regulations.
DOC-0357,Compliance Document,This Cybersecurity Maturity Model Certification assessment covers all required practices per the approved project plan. The Continuity of Operations Plan ensures mission-critical functions during disruptions. Data handling procedures comply with the Federal Information Security Modernization Act. The Privacy Impact Assessment evaluates risks to personally identifiable information. This FedRAMP authorization package demonstrates compliance with NIST SP 800-53 controls per the approved project plan.
DOC-0096,SOW,"The contractor shall provide technical writing and documentation support, including all associated documentation. The contractor is responsible for delivering the following tasks and deliverables. The contractor shall not disclose any sensitive information obtained during performance per the approved project plan. Work shall be performed on-site at the Government facility located in per the approved project plan."
DOC-0207,Invoice,"Indirect costs including overhead and general and administrative expenses are billed. The contractor hereby submits this invoice for payment of labor hours incurred, as required by the contract. Travel expenses incurred in direct support of contract performance are included per the approved project plan. The invoice total reflects labor materials and other direct costs for the billing period in accordance with applicable regulations. Payment is requested within 30 days of receipt per the prompt payment terms, including all associated documentation."
DOC-0154,Contract Modification,The total obligated amount is hereby increased from the original contract value per the approved project plan. The delivery schedule is modified to reflect the revised completion date. Modification P00003 deobligates funds and reduces the total contract ceiling.
DOC-0132,Contract Modification,"Modification P00001 adds the following scope to the existing task order in accordance with applicable regulations. This unilateral modification is issued pursuant to FAR clause 52.243-1, including all associated documentation. The purpose of this modification is to extend the period of performance by per the approved project plan. This modification is issued to incorporate the following changes to the contract per the approved project plan. This change order modifies the statement of work to include additional tasks in accordance with applicable regulations."
DOC-0046,RFP,"The proposal evaluation criteria include technical approach, management, and price in accordance with applicable regulations. Offerors shall provide a detailed staffing plan and key personnel resumes, including all associated documentation. Section L of this solicitation provides instructions for proposal preparation, as required by the contract. The Government intends to award a single Indefinite Delivery Indefinite Quantity contract per the approved project plan."
DOC-0212,Invoice,"Subcontractor costs as authorized under the contract are included on this invoice in accordance with applicable regulations. Direct labor costs billed at the negotiated fixed hourly rates per the contract. Travel expenses incurred in direct support of contract performance are included in accordance with applicable regulations. Invoices must be submitted via the Wide Area Workflow electronic invoicing system, as required by the contract."
DOC-0011,RFP,"Offerors are invited to submit technical and price proposals for per the approved project plan. The Government intends to award a single Indefinite Delivery Indefinite Quantity contract per the approved project plan. Offerors must demonstrate technical capability and relevant past performance, as required by the contract. The proposal evaluation criteria include technical approach, management, and price in accordance with applicable regulations. This Request for Proposal covers information technology services including per the approved project plan."
DOC-0148,Contract Modification,"This modification is issued to incorporate the following changes to the contract, as required by the contract. All other terms and conditions of the contract remain unchanged and in full force, as required by the contract. Modification P00003 deobligates funds and reduces the total contract ceiling in accordance with applicable regulations. The total obligated amount is hereby increased from the original contract value. The contractor acknowledges receipt of this modification and agrees to the changes, as required by the contract."
DOC-0242,Invoice,"Indirect costs including overhead and general and administrative expenses are billed, including all associated documentation. The invoice total reflects labor materials and other direct costs for the billing period in accordance with applicable regulations. The contractor hereby submits this invoice for payment of labor hours incurred per the approved project plan."
DOC-0313,Deliverable Report,"This Monthly Status Report covers activities completed during the reporting period in accordance with applicable regulations. This Risk Register identifies mitigation strategies for the top program risks, including all associated documentation. The Program Management Review slide deck summarizes progress against the integrated master schedule in accordance with applicable regulations. This Quality Assurance Surveillance Plan establishes the surveillance methodology, including all associated documentation."
DOC-0086,SOW,"The contractor is responsible for delivering the following tasks and deliverables. The Period of Performance for this task order is from date of award through. The contractor shall not disclose any sensitive information obtained during performance, including all associated documentation."
DOC-0252,Invoice,"This is a cost-plus-fixed-fee invoice submitted for reimbursement of allowable costs, as required by the contract. Invoice Number INV-2024-0451 for professional services rendered during the period per the approved project plan. Indirect costs including overhead and general and administrative expenses are billed, as required by the contract. Subcontractor costs as authorized under the contract are included on this invoice in accordance with applicable regulations."
DOC-0081,SOW,All deliverables shall be submitted in accordance with the Contract Deliverable Requirements List. Work shall be performed on-site at the Government facility located in. The contractor shall support data collection analysis and reporting activities per the approved project plan.
DOC-0334,Compliance Document,The contractor certifies compliance with the Buy American Act and Trade Agreements Act. This Cybersecurity Maturity Model Certification assessment covers all required practices in accordance with applicable regulations. Section 508 compliance testing confirms the system meets accessibility requirements in accordance with applicable regulations. The contractor must submit annual compliance certifications including ethics and conflict of interest per the approved project plan.
DOC-0262,Deliverable Report,"The Program Management Review slide deck summarizes progress against the integrated master schedule, including all associated documentation. The Final Report presents conclusions and recommendations based on the analysis conducted, as required by the contract. The Corrective Action Plan addresses deficiencies identified during the performance review per the approved project plan."
DOC-0239,Invoice,"Subcontractor costs as authorized under the contract are included on this invoice, as required by the contract. Backup documentation including timesheets and receipts is attached to this invoice per the approved project plan. The invoice total reflects labor materials and other direct costs for the billing period per the approved project plan."
DOC-0007,RFP,"Offerors shall provide a detailed staffing plan and key personnel resumes, as required by the contract. This Request for Proposal covers information technology services including per the approved project plan. Proposals shall address all requirements outlined in the Performance Work Statement, including all associated documentation. The proposal evaluation criteria include technical approach, management, and price per the approved project plan. Offerors must demonstrate technical capability and relevant past performance, including all associated documentation."
DOC-0102,SOW,The contractor is responsible for delivering the following tasks and deliverables in accordance with applicable regulations. The Period of Performance for this task order is from date of award through. The contractor shall provide technical writing and documentation support in accordance with applicable regulations.
DOC-0033,RFP,"The Government intends to award a single Indefinite Delivery Indefinite Quantity contract per the approved project plan. Section L of this solicitation provides instructions for proposal preparation in accordance with applicable regulations. The contracting officer anticipates award of a firm-fixed-price contract for, as required by the contract."
DOC-0053,RFP,"The proposal evaluation criteria include technical approach, management, and price, including all associated documentation. This Request for Proposal covers information technology services including, as required by the contract. Offerors shall provide a detailed staffing plan and key personnel resumes per the approved project plan. The Government is soliciting proposals for professional services in support of, including all associated documentation. All proposals must be submitted electronically via the SAM.gov portal."
DOC-0140,Contract Modification,"This bilateral modification is agreed to by both parties and incorporated herein in accordance with applicable regulations. The contract is hereby modified to add the following contract line items, including all associated documentation. The delivery schedule is modified to reflect the revised completion date, including all associated documentation."
DOC-0375,Compliance Document,"The Privacy Impact Assessment evaluates risks to personally identifiable information, as required by the contract. Section 508 compliance testing confirms the system meets accessibility requirements, as required by the contract. The Contractor must comply with all applicable Federal Acquisition Regulation clauses per the approved project plan."
DOC-0231,Invoice,"Payment is requested within 30 days of receipt per the prompt payment terms. Direct labor costs billed at the negotiated fixed hourly rates per the contract, as required by the contract. This is a cost-plus-fixed-fee invoice submitted for reimbursement of allowable costs per the approved project plan. Indirect costs including overhead and general and administrative expenses are billed per the approved project plan. Backup documentation including timesheets and receipts is attached to this invoice in accordance with applicable regulations."
DOC-0373,Compliance Document,"This System Security Plan describes the security controls implemented for the information system, as required by the contract. The Privacy Impact Assessment evaluates risks to personally identifiable information, including all associated documentation. The Supply Chain Risk Management Plan addresses third-party hardware and software risks."
DOC-0049,RFP,"The base period of performance is 12 months with four option years, as required by the contract. The proposal evaluation criteria include technical approach, management, and price. This Request for Proposal covers information technology services including in accordance with applicable regulations. The contracting officer anticipates award of a firm-fixed-price contract for."
DOC-0261,Deliverable Report,"This Quality Assurance Surveillance Plan establishes the surveillance methodology, as required by the contract. The Configuration Management Plan governs version control and change control procedures per the approved project plan. This Data Management Plan describes how data will be collected stored and protected in accordance with applicable regulations. The Corrective Action Plan addresses deficiencies identified during the performance review, including all associated documentation."
DOC-0352,Compliance Document,"The Continuity of Operations Plan ensures mission-critical functions during disruptions, including all associated documentation. The Contractor must comply with all applicable Federal Acquisition Regulation clauses in accordance with applicable regulations. This Authority to Operate is granted based on an acceptable level of residual risk, including all associated documentation. This Cybersecurity Maturity Model Certification assessment covers all required practices, as required by the contract. Data handling procedures comply with the Federal Information Security Modernization Act, including all associated documentation."
DOC-0321,Compliance Document,"This System Security Plan describes the security controls implemented for the information system, including all associated documentation. Data handling procedures comply with the Federal Information Security Modernization Act, as required by the contract. The Continuity of Operations Plan ensures mission-critical functions during disruptions, including all associated documentation. The Contractor must comply with all applicable Federal Acquisition Regulation clauses per the approved project plan. The Supply Chain Risk Management Plan addresses third-party hardware and software risks, as required by the contract."
DOC-0018,RFP,"Offerors are invited to submit technical and price proposals for, as required by the contract. This Request for Proposal covers information technology services including in accordance with applicable regulations. The proposal evaluation criteria include technical approach, management, and price. Proposals shall address all requirements outlined in the Performance Work Statement, including all associated documentation."
DOC-0138,Contract Modification,"All other terms and conditions of the contract remain unchanged and in full force. The total obligated amount is hereby increased from the original contract value per the approved project plan. The delivery schedule is modified to reflect the revised completion date, as required by the contract."
DOC-0082,SOW,"The contractor shall provide program management support services including, including all associated documentation. The contractor shall maintain an integrated master schedule and report status weekly, including all associated documentation. The contractor shall provide subject matter expertise in the following domains in accordance with applicable regulations. The contractor shall provide technical writing and documentation support per the approved project plan."
DOC-0089,SOW,"The contractor shall maintain an integrated master schedule and report status weekly. The contractor shall not disclose any sensitive information obtained during performance, as required by the contract. The contractor shall support data collection analysis and reporting activities, including all associated documentation. All deliverables shall be submitted in accordance with the Contract Deliverable Requirements List, including all associated documentation."
DOC-0311,Deliverable Report,"The Program Management Review slide deck summarizes progress against the integrated master schedule. The Transition Plan outlines steps for knowledge transfer to the incoming contractor, including all associated documentation. This Data Management Plan describes how data will be collected stored and protected, including all associated documentation. This After-Action Report documents findings and lessons learned from the exercise in accordance with applicable regulations."
DOC-0013,RFP,"The proposal evaluation criteria include technical approach, management, and price, as required by the contract. Offerors must demonstrate technical capability and relevant past performance, including all associated documentation. This Request for Proposal covers information technology services including per the approved project plan."
DOC-0289,Deliverable Report,"The Technical Design Document provides detailed specifications for the proposed system per the approved project plan. This Data Management Plan describes how data will be collected stored and protected in accordance with applicable regulations. The Program Management Review slide deck summarizes progress against the integrated master schedule in accordance with applicable regulations. The Configuration Management Plan governs version control and change control procedures, including all associated documentation. This Monthly Status Report covers activities completed during the reporting period per the approved project plan."
DOC-0149,Contract Modification,"The total obligated amount is hereby increased from the original contract value, as required by the contract. The delivery schedule is modified to reflect the revised completion date, including all associated documentation. This unilateral modification is issued pursuant to FAR clause 52.243-1. This change order modifies the statement of work to include additional tasks in accordance with applicable regulations. The purpose of this modification is to extend the period of performance by in accordance with applicable regulations."
DOC-0151,Contract Modification,"The delivery schedule is modified to reflect the revised completion date, as required by the contract. All other terms and conditions of the contract remain unchanged and in full force, as required by the contract. This bilateral modification is agreed to by both parties and incorporated herein per the approved project plan. This modification is issued to incorporate the following changes to the contract in accordance with applicable regulations. The contractor acknowledges receipt of this modification and agrees to the changes."
DOC-0098,SOW,"The contractor shall maintain an integrated master schedule and report status weekly. Task 1: Program Planning and Coordination — the contractor shall develop, as required by the contract. The contractor shall not disclose any sensitive information obtained during performance in accordance with applicable regulations. The contractor shall provide technical writing and documentation support per the approved project plan. The contractor shall provide program management support services including."
DOC-0095,SOW,"Task 1: Program Planning and Coordination — the contractor shall develop in accordance with applicable regulations. The contractor is responsible for delivering the following tasks and deliverables in accordance with applicable regulations. The contractor shall conduct quarterly performance reviews and submit written reports, as required by the contract."
DOC-0121,SOW,"The contractor shall support data collection analysis and reporting activities per the approved project plan. The contractor shall maintain an integrated master schedule and report status weekly, as required by the contract. The contractor is responsible for delivering the following tasks and deliverables, as required by the contract. Task 1: Program Planning and Coordination — the contractor shall develop. All deliverables shall be submitted in accordance with the Contract Deliverable Requirements List."
DOC-0005,RFP,"The proposal evaluation criteria include technical approach, management, and price in accordance with applicable regulations. The base period of performance is 12 months with four option years, including all associated documentation. All proposals must be submitted electronically via the SAM.gov portal in accordance with applicable regulations. The contracting officer anticipates award of a firm-fixed-price contract for, including all associated documentation."
DOC-0235,Invoice,"The invoice total reflects labor materials and other direct costs for the billing period. This invoice covers the period of performance from the first through the last day, as required by the contract. Invoices must be submitted via the Wide Area Workflow electronic invoicing system in accordance with applicable regulations. This is a cost-plus-fixed-fee invoice submitted for reimbursement of allowable costs, as required by the contract."
DOC-0094,SOW,"The contractor shall not disclose any sensitive information obtained during performance per the approved project plan. The contractor shall maintain an integrated master schedule and report status weekly. The contractor shall support data collection analysis and reporting activities, including all associated documentation."
DOC-0230,Invoice,"Invoice Number INV-2024-0451 for professional services rendered during the period, including all associated documentation. Payment is requested within 30 days of receipt per the prompt payment terms, as required by the contract. The invoice total reflects labor materials and other direct costs for the billing period, including all associated documentation. Direct labor costs billed at the negotiated fixed hourly rates per the contract, as required by the contract."
DOC-0211,Invoice,"Indirect costs including overhead and general and administrative expenses are billed, including all associated documentation. Travel expenses incurred in direct support of contract performance are included in accordance with applicable regulations. The contractor hereby submits this invoice for payment of labor hours incurred. Backup documentation including timesheets and receipts is attached to this invoice per the approved project plan."
DOC-0245,Invoice,"Indirect costs including overhead and general and administrative expenses are billed, as required by the contract. The invoice total reflects labor materials and other direct costs for the billing period, including all associated documentation. Payment is requested within 30 days of receipt per the prompt payment terms per the approved project plan. The contractor hereby submits this invoice for payment of labor hours incurred, as required by the contract."
